,id,premium,name,department,has_test,response_letter_required,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,contacts,working_days,working_time_intervals,working_time_modes,accept_temporary,area.id,area.name,area.url,salary.from,salary.to,salary.currency,salary.gross,type.id,type.name,employer.id,employer.name,employer.url,employer.alternate_url,employer.logo_urls,employer.vacancies_url,employer.trusted,snippet.requirement,snippet.responsibility,schedule.id,schedule.name,address.city,address.street,address.building,address.description,address.lat,address.lng,address.raw,address.metro.station_name,address.metro.line_name,address.metro.station_id,address.metro.line_id,address.metro.lat,address.metro.lng,address.metro_stations,address.id,employer.logo_urls.original,employer.logo_urls.90,employer.logo_urls.240,address.metro,salary,department.id,department.name
0,55262650,False,Военнослужащий по контракту (Сотрудник пограничной службы),,False,False,,,,2022-05-06T21:37:13+0300,2022-05-06T21:37:13+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55262650,,https://api.hh.ru/vacancies/55262650?host=hh.ru,https://api.hh.ru/vacancies/55262650/adv_response?host=hh.ru,https://hh.ru/vacancy/55262650,[],,[],[],[],False,2064,Жуковский,https://api.hh.ru/areas/2064,39000.0,60000.0,RUR,False,open,Открытая,4670204,Аэропорт Жуковский Пограничная служба,https://api.hh.ru/employers/4670204,https://hh.ru/employer/4670204,,https://api.hh.ru/vacancies?employer_id=4670204,True,Наличие высшего образования или прохождение военной службы по призыву (для военнообязанных). Образование не ниже среднего (полного) общего (для невоеннообязанных). ,"Проверка документов у лиц, следующих через государственную границу. Иные обязанности, предусмотренные законодательством Российской Федерации о военной службе.",shift,Сменный график,,,,,,,,,,,,,,,,,,,,,,
1,51831697,False,Инструктор-кинолог,,False,False,,,,2022-05-07T02:24:35+0300,2022-05-07T02:24:35+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=51831697,,https://api.hh.ru/vacancies/51831697?host=hh.ru,https://api.hh.ru/vacancies/51831697/adv_response?host=hh.ru,https://hh.ru/vacancy/51831697,[],,[],[],[],False,4749,Емельяново,https://api.hh.ru/areas/4749,30000.0,45000.0,RUR,False,open,Открытая,3130756,ИК-5 ФКУ ГУФСИН России по Красноярскому краю,https://api.hh.ru/employers/3130756,https://hh.ru/employer/3130756,,https://api.hh.ru/vacancies?employer_id=3130756,True,Отслужившие в ВС для военнообязанных (возможен прием на службу с записью в военном билете(для военнообязанных) В-ограниченно годен). ,Служба в карауле по охране объекта. Уход за служебными собаками.,shift,Сменный график,,,,,,,,,,,,,,,,,,,,,,
2,47541060,False,Полицейский отделения охраны и конвоирования,,False,False,,,,2022-05-07T13:37:03+0300,2022-05-07T13:37:03+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=47541060,,https://api.hh.ru/vacancies/47541060?host=hh.ru,https://api.hh.ru/vacancies/47541060/adv_response?host=hh.ru,https://hh.ru/vacancy/47541060,[],,[],[],[],False,3,Екатеринбург,https://api.hh.ru/areas/3,25000.0,30000.0,RUR,False,open,Открытая,3654617,ЛО МВД России на ст. Екатеринбург-Пассажирский,https://api.hh.ru/employers/3654617,https://hh.ru/employer/3654617,,https://api.hh.ru/vacancies?employer_id=3654617,True,"Требуются: Желающие годные к службе (А\Б), со средним образованием (ЗП от 28к). При наличии высшего образования, возможность продвижения...",В охрану общественного порядка и общественной безопасности на ж/д вокзале ст.Екатеринбург. Пассажирский и территории оперативного обслуживания в городах Каменск...,shift,Сменный график,Екатеринбург,"Железнодорожный район, микрорайон Вокзальный, Невьянский переулок",5,,56.857455,60.603071,"Екатеринбург, Железнодорожный район, микрорайон Вокзальный, Невьянский переулок, 5",Уральская,Север-Юг,48.264,48,56.858056,60.600816,"[{'station_name': 'Уральская', 'line_name': 'Север-Юг', 'station_id': '48.264', 'line_id': '48', 'lat': 56.858056, 'lng': 60.600816}]",2421306,https://hhcdn.ru/employer-logo-original/627543.jpg,https://hhcdn.ru/employer-logo/2951324.jpeg,https://hhcdn.ru/employer-logo/2951325.jpeg,,,,
3,30851355,False,Полицейский,,False,False,,,,2022-05-07T14:09:16+0300,2022-05-07T14:09:16+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=30851355,,https://api.hh.ru/vacancies/30851355?host=hh.ru,https://api.hh.ru/vacancies/30851355/adv_response?host=hh.ru,https://hh.ru/vacancy/30851355,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,60000.0,65000.0,RUR,True,open,Открытая,1907321,Спецподразделение по г. Москва ПОиКПиО ГУ МВД России,https://api.hh.ru/employers/1907321,https://hh.ru/employer/1907321,,https://api.hh.ru/vacancies?employer_id=1907321,True,"Требования: отслужившие в ВС (для военнообязанных), образование не ниже среднего полного.",,shift,Сменный график,Москва,проезд Завода Серп и Молот,4А,,55.753914,37.697361,"Москва, проезд Завода Серп и Молот, 4А",Авиамоторная,Калининская,8.1,8,55.751933,37.717444,"[{'station_name': 'Авиамоторная', 'line_name': 'Калининская', 'station_id': '8.1', 'line_id': '8', 'lat': 55.751933, 'lng': 37.717444}]",1114182,https://hhcdn.ru/employer-logo-original/527205.png,https://hhcdn.ru/employer-logo/2550297.jpeg,https://hhcdn.ru/employer-logo/2550298.jpeg,,,,
4,55265275,False,Кинолог,,False,False,,,,2022-05-07T16:49:21+0300,2022-05-07T16:49:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55265275,,https://api.hh.ru/vacancies/55265275?host=hh.ru,https://api.hh.ru/vacancies/55265275/adv_response?host=hh.ru,https://hh.ru/vacancy/55265275,[],,[],[],[],False,1269,Верхняя Пышма,https://api.hh.ru/areas/1269,25700.0,,RUR,True,open,Открытая,6007974,Лучшие работодатели Урала (ИП Тищенко Иван Викторович),https://api.hh.ru/employers/6007974,https://hh.ru/employer/6007974,,https://api.hh.ru/vacancies?employer_id=6007974,True,,"Кормление, тренировка служебных собак. Проверка готовности их к защитно-караульной службе. — Осуществление контрольно-пропускного и внутриобъектового режима предприятия. — ",shift,Сменный график,,,,,,,,,,,,,,,,https://hhcdn.ru/employer-logo-original/955199.png,https://hhcdn.ru/employer-logo/4261324.png,https://hhcdn.ru/employer-logo/4261325.png,,,,
5,54666851,False,Военнослужащий по контракту,,False,False,,,,2022-05-07T21:47:24+0300,2022-05-07T21:47:24+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54666851,,https://api.hh.ru/vacancies/54666851?host=hh.ru,https://api.hh.ru/vacancies/54666851/adv_response?host=hh.ru,https://hh.ru/vacancy/54666851,[],,[],[],[],False,43,Калуга,https://api.hh.ru/areas/43,200000.0,350000.0,RUR,False,open,Открытая,1586217,Пункт отбора на военную службу по контракту по Калужской области,https://api.hh.ru/employers/1586217,https://hh.ru/employer/1586217,,https://api.hh.ru/vacancies?employer_id=1586217,True,"в совершенстве знать свое оружие и владеть им, уметь вести из него меткий огонь. Требования: По уровню образования: не ниже...",Стрелок в войсковую часть. Жилищное обеспечение: - вступление в накопительно-ипотечную систему жилищного обеспечения военнослужащих через 3 года службы и получение...,fullDay,Полный день,Калуга,улица Беляева,1,,54.501043,36.269471,"Калуга, улица Беляева, 1",,,,,,,[],403728,,,,,,,
6,54666775,False,Военнослужащий по контракту,,False,False,,,,2022-05-07T21:47:18+0300,2022-05-07T21:47:18+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54666775,,https://api.hh.ru/vacancies/54666775?host=hh.ru,https://api.hh.ru/vacancies/54666775/adv_response?host=hh.ru,https://hh.ru/vacancy/54666775,[],,[],[],[],False,1877,Сухиничи,https://api.hh.ru/areas/1877,200000.0,350000.0,RUR,False,open,Открытая,1586217,Пункт отбора на военную службу по контракту по Калужской области,https://api.hh.ru/employers/1586217,https://hh.ru/employer/1586217,,https://api.hh.ru/vacancies?employer_id=1586217,True,"По уровню образования: не ниже основного общего. По состоянию здоровья: А-годен к военной службе, Б-годен к военной службе...",Военнослужащий по контракту в войсковую часть. Жилищное обеспечение: - вступление в накопительно - ипотечную систему жилищного обеспечения военнослужащих через 3 года службы...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,,,
7,54666801,False,Военнослужащий по контракту,,False,False,,,,2022-05-07T21:47:21+0300,2022-05-07T21:47:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54666801,,https://api.hh.ru/vacancies/54666801?host=hh.ru,https://api.hh.ru/vacancies/54666801/adv_response?host=hh.ru,https://hh.ru/vacancy/54666801,[],,[],[],[],False,301,Обнинск,https://api.hh.ru/areas/301,200000.0,350000.0,RUR,False,open,Открытая,1586217,Пункт отбора на военную службу по контракту по Калужской области,https://api.hh.ru/employers/1586217,https://hh.ru/employer/1586217,,https://api.hh.ru/vacancies?employer_id=1586217,True,"По уровню образования: не ниже основного общего. По состоянию здоровья: А-годен к военной службе, Б-годен к военной службе...",Военнослужащий по контракту в войсковую часть. Жилищное обеспечение: - вступление в накопительно - ипотечную систему жилищного обеспечения военнослужащих через 3 года службы...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,,,
8,54666777,False,Военнослужащий по контракту,,False,False,,,,2022-05-07T21:47:19+0300,2022-05-07T21:47:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54666777,,https://api.hh.ru/vacancies/54666777?host=hh.ru,https://api.hh.ru/vacancies/54666777/adv_response?host=hh.ru,https://hh.ru/vacancy/54666777,[],,[],[],[],False,1860,Балабаново,https://api.hh.ru/areas/1860,200000.0,350000.0,RUR,False,open,Открытая,1586217,Пункт отбора на военную службу по контракту по Калужской области,https://api.hh.ru/employers/1586217,https://hh.ru/employer/1586217,,https://api.hh.ru/vacancies?employer_id=1586217,True,"По уровню образования: не ниже основного общего. По состоянию здоровья: А-годен к военной службе, Б-годен к военной службе...",Военнослужащий по контракту в войсковую часть. Жилищное обеспечение: - вступление в накопительно - ипотечную систему жилищного обеспечения военнослужащих через 3 года службы...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,,,
9,54666776,False,Военнослужащий по контракту,,False,False,,,,2022-05-07T21:47:18+0300,2022-05-07T21:47:18+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54666776,,https://api.hh.ru/vacancies/54666776?host=hh.ru,https://api.hh.ru/vacancies/54666776/adv_response?host=hh.ru,https://hh.ru/vacancy/54666776,[],,[],[],[],False,3931,Бабынино (Калужская область),https://api.hh.ru/areas/3931,200000.0,350000.0,RUR,False,open,Открытая,1586217,Пункт отбора на военную службу по контракту по Калужской области,https://api.hh.ru/employers/1586217,https://hh.ru/employer/1586217,,https://api.hh.ru/vacancies?employer_id=1586217,True,"По уровню образования: не ниже основного общего. По состоянию здоровья: А-годен к военной службе, Б-годен к военной службе...",Военнослужащий по контракту в войсковую часть. Жилищное обеспечение: - вступление в накопительно - ипотечную систему жилищного обеспечения военнослужащих через 3 года службы...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,,,
10,54666788,False,Военнослужащий по контракту,,False,False,,,,2022-05-07T21:47:20+0300,2022-05-07T21:47:20+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54666788,,https://api.hh.ru/vacancies/54666788?host=hh.ru,https://api.hh.ru/vacancies/54666788/adv_response?host=hh.ru,https://hh.ru/vacancy/54666788,[],,[],[],[],False,3937,Жилетово,https://api.hh.ru/areas/3937,200000.0,350000.0,RUR,False,open,Открытая,1586217,Пункт отбора на военную службу по контракту по Калужской области,https://api.hh.ru/employers/1586217,https://hh.ru/employer/1586217,,https://api.hh.ru/vacancies?employer_id=1586217,True,"По уровню образования: не ниже основного общего. По состоянию здоровья: А-годен к военной службе, Б-годен к военной службе...",Военнослужащий по контракту в войсковую часть. Жилищное обеспечение: - вступление в накопительно - ипотечную систему жилищного обеспечения военнослужащих через 3 года службы...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,,,
11,54666782,False,Военнослужащий по контракту,,False,False,,,,2022-05-07T21:47:19+0300,2022-05-07T21:47:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54666782,,https://api.hh.ru/vacancies/54666782?host=hh.ru,https://api.hh.ru/vacancies/54666782/adv_response?host=hh.ru,https://hh.ru/vacancy/54666782,[],,[],[],[],False,3934,Воротынск,https://api.hh.ru/areas/3934,200000.0,350000.0,RUR,False,open,Открытая,1586217,Пункт отбора на военную службу по контракту по Калужской области,https://api.hh.ru/employers/1586217,https://hh.ru/employer/1586217,,https://api.hh.ru/vacancies?employer_id=1586217,True,"По уровню образования: не ниже основного общего. По состоянию здоровья: А-годен к военной службе, Б-годен к военной службе...",Военнослужащий по контракту в войсковую часть. Жилищное обеспечение: - вступление в накопительно - ипотечную систему жилищного обеспечения военнослужащих через 3 года службы...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,,,
12,54666869,False,Военнослужащий по контракту в войсковую часть,,False,False,,,,2022-05-07T21:47:27+0300,2022-05-07T21:47:27+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54666869,,https://api.hh.ru/vacancies/54666869?host=hh.ru,https://api.hh.ru/vacancies/54666869/adv_response?host=hh.ru,https://hh.ru/vacancy/54666869,[],,[],[],[],False,43,Калуга,https://api.hh.ru/areas/43,200000.0,350000.0,RUR,False,open,Открытая,1586217,Пункт отбора на военную службу по контракту по Калужской области,https://api.hh.ru/employers/1586217,https://hh.ru/employer/1586217,,https://api.hh.ru/vacancies?employer_id=1586217,True,"знать устройство, правила эксплуатации и обслуживания автотранспортного средства. - уметь водить автомобиль днем и ночью, в любое время года, при любых...","Военный водитель в войсковую часть (пункт отбора на военную службу по контракту г. Калуга). - своевременно проводить техническое обслуживание, ремонт и...",fullDay,Полный день,Калуга,улица Беляева,1,,54.501043,36.269471,"Калуга, улица Беляева, 1",,,,,,,[],403728,,,,,,,
13,54666796,False,Военнослужащий по контракту,,False,False,,,,2022-05-07T21:47:21+0300,2022-05-07T21:47:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54666796,,https://api.hh.ru/vacancies/54666796?host=hh.ru,https://api.hh.ru/vacancies/54666796/adv_response?host=hh.ru,https://hh.ru/vacancy/54666796,[],,[],[],[],False,1870,Людиново,https://api.hh.ru/areas/1870,200000.0,350000.0,RUR,False,open,Открытая,1586217,Пункт отбора на военную службу по контракту по Калужской области,https://api.hh.ru/employers/1586217,https://hh.ru/employer/1586217,,https://api.hh.ru/vacancies?employer_id=1586217,True,"По уровню образования: не ниже основного общего. По состоянию здоровья: А-годен к военной службе, Б-годен к военной службе...",Военнослужащий по контракту в войсковую часть. Жилищное обеспечение: - вступление в накопительно - ипотечную систему жилищного обеспечения военнослужащих через 3 года службы...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,,,
