,region,category,specialization,april_2021,may_2021,june_2021,july_2021,august_2021,september_2021,october_2021,november_2021,december_2021,january_2022,february_2022,march_2022,april_2022
0,amur_oblast,indexes,all,3.502570694087403,3.0012853470437015,2.8007712082262204,2.8007712082262204,3.0012853470437015,3.0012853470437015,3.201799485861182,3.101542416452442,3.101542416452442,3.201799485861182,3.3020565552699224,4.104113110539845,4.003856041131105
1,amur_oblast,indexes,it,2.1992287917737787,2.098971722365038,1.7982005141388169,1.998714652956298,2.098971722365038,2.098971722365038,2.098971722365038,1.7982005141388169,1.998714652956298,1.998714652956298,1.8984575835475574,2.098971722365038,1.998714652956298
2,amur_oblast,indexes,security,3.9035989717223645,4.003856041131105,3.402313624678663,3.201799485861182,3.201799485861182,3.101542416452442,3.9035989717223645,3.502570694087403,3.0012853470437015,2.4999999999999996,1.7982005141388169,2.098971722365038,2.098971722365038
3,amur_oblast,indexes,arts,3.402313624678663,2.4999999999999996,3.3020565552699224,2.901028277634961,2.4999999999999996,2.60025706940874,2.8007712082262204,2.901028277634961,2.901028277634961,1.7982005141388169,1.998714652956298,2.399742930591259,1.6979434447300772
4,amur_oblast,vacancies,all,9.023136246786628,11.02827763496143,4.010282776349612,4.010282776349612,-3.0077120822622163,1.002570694087396,-1.0025706940874102,4.010282776349612,-4.010282776349619,-4.010282776349619,7.0179948586118215,-13.033419023136254,-2.0051413881748132
5,amur_oblast,vacancies,it,8.020565552699221,1.002570694087396,13.033419023136243,-3.0077120822622163,4.010282776349612,5.012853470437008,-7.105427357601002e-15,13.033419023136243,-6.015424164524433,-9.023136246786642,8.020565552699221,2.005141388174799,4.010282776349612
6,amur_oblast,vacancies,security,-7.017994858611836,-1.0025706940874102,15.038560411311046,-8.020565552699232,9.023136246786628,17.04370179948586,-17.04370179948586,-4.010282776349619,9.023136246786628,10.02570694087403,16.04113110539845,-9.023136246786642,6.015424164524411
7,amur_oblast,vacancies,arts,3.007712082262209,22.056555269922868,-23.059125964010292,4.010282776349612,13.033419023136243,-9.023136246786642,4.010282776349612,-3.0077120822622163,-4.010282776349619,23.059125964010267,-20.051413881748076,-29.07455012853471,-10.025706940874045
8,amur_oblast,resumes,all,-2.975578406169671,-4.9807197943444805,-2.975578406169671,4.042416452442154,2.0372750642673516,3.039845758354751,5.044987146529557,0.032133676092538366,-2.975578406169671,-1.9730077120822713,11.060411311053974,7.05012853470436,-2.975578406169671
9,amur_oblast,resumes,it,5.044987146529557,-4.9807197943444805,-2.975578406169671,8.05269922879176,8.05269922879176,9.055269922879173,-1.9730077120822713,-1.9730077120822713,0.032133676092538366,-4.9807197943444805,3.039845758354751,8.05269922879176,2.0372750642673516
10,amur_oblast,resumes,security,0.032133676092538366,3.039845758354751,-3.9781491002570775,-11.998714652956302,7.05012853470436,15.070694087403592,3.039845758354751,-11.998714652956302,-7.988431876606683,-8.991002570694093,-15.006426735218518,3.039845758354751,9.055269922879173
11,amur_oblast,resumes,arts,-3.9781491002570775,-10.996143958868899,2.0372750642673516,-6.98586118251928,-2.975578406169671,-5.983290488431884,10.057840616966573,3.039845758354751,-5.983290488431884,-22.02442159383034,-10.996143958868899,-15.006426735218518,-38.0655526992288
12,jewish_autonomous_oblast,indexes,all,2.7994858611825184,2.298200514138817,2.097686375321336,2.298200514138817,2.3984575835475574,2.097686375321336,2.3984575835475574,2.598971722365038,2.4987146529562976,2.899742930591259,2.899742930591259,3.3007712082262204,2.7994858611825184
13,jewish_autonomous_oblast,indexes,it,2.3984575835475574,2.6992287917737783,2.598971722365038,1.796915167095115,2.899742930591259,3.7017994858611822,2.9999999999999996,2.3984575835475574,2.1979434447300767,2.4987146529562976,1.2956298200514134,1.796915167095115,2.1979434447300767
14,jewish_autonomous_oblast,indexes,security,1.796915167095115,1.095115681233933,1.796915167095115,1.5964010282776346,2.598971722365038,1.796915167095115,2.097686375321336,2.4987146529562976,4.704370179948586,4.303341902313624,4.904884318766067,3.2005141388174803,1.997429305912596
15,jewish_autonomous_oblast,indexes,arts,2.9999999999999996,2.9999999999999996,3.7017994858611822,3.401028277634961,1.796915167095115,1.5964010282776346,,,,,0.9948586118251921,,
